Sentence,Mp3_Path
Hey is your work out going,media/Hey_is_your_work_out_going.wav
Hey Joey is a smart guy,media/Hey_Joey_is_a_smart_guy.wav
Hey hows it going,media/Hey_hows_it_going.wav
Hey mom hows it going,media/Hey_mom_hows_it_going.wav
hello how are you doing,media/hello_how_are_you_doing.wav
Hey how are you,media/Hey_how_are_you.wav
Hey Mom how are you,media/Hey_Mom_how_are_you.wav
hey mom how are you,media/hey_mom_how_are_you.wav
Hey Joey is smart,media/Hey_Joey_is_smart.wav
Hey mom and dad how's it going,media/Hey_mom_and_dad_how's_it_going.wav
